id,brand,model,image
61,Mazda,3,"https://images.drive.com.au/driveau/image/upload/c_fill,f_auto,g_auto,h_360,q_auto:best,w_640/vehicles/showrooms/models/mazda-3"
62,Mazda,6,https://bizweb.dktcdn.net/100/372/787/files/ac-quy-xe-mazda-6.jpg
63,Mazda,CX-3,https://img.autotrader.co.za/14718491/Crop800x600
64,Mazda,CX-30,https://www.mazdausa.com/siteassets/vehicles/2023/cx-30/34-jellies/cx-30-2.5-s/2022-cx30-2-5s-jet-black.png
65,Mazda,CX-5,https://www.mazdausa.com/siteassets/vehicles/2023/cx-5/build--price/trims/34-jellies/2.5-s-select/2022-cx5-2-5s-select-sonic-silver-metallic.png
66,Mazda,CX-8,https://heyoto.vn/wp-content/uploads/2020/03/thumb-new-mazda-cx-8-luxury.jpg
67,Mazda,BT-50,https://bizweb.dktcdn.net/100/366/403/products/kia-sportage-2021-c4faeae9-a32a-4890-b9d4-6fe742897bc2.png?v=1659499939870
68,Mitsubishi,Attrage,https://static.bangkokpost.com/media/content/20191118/3412094.jpg
69,Mitsubishi,Xpander Cross,https://welovecar.vn/wp-content/uploads/2019/11/welovecar-2020-mitsubishi-xpander-cross-01.jpg
70,Mitsubishi,Xpander ,https://welovecar.vn/wp-content/uploads/2019/11/welovecar-2020-mitsubishi-xpander-cross-01.jpg
71,Mitsubishi,Triton,https://mitsubishimotorsdanang.com.vn/wp-content/uploads/2021/12/W85_45_20L200-51-R-Front-L-Card-20201116-e1638963108686-1024x573.png
72,Mitsubishi,Pajero Sport,https://images.carandbike.com/car-images/colors/mitsubishi/pajero-sport/mitsubishi-pajero-sport-storm-gray.png?v=1
73,Mitsubishi,Pajero,https://images.carandbike.com/car-images/colors/mitsubishi/pajero-sport/mitsubishi-pajero-sport-storm-gray.png?v=1
74,Mitsubishi,Outlander,https://www.motortrend.com/uploads/sites/10/2017/10/2018-mitsubishi-outlander-gt-suv-angular-front.png
75,Mitsubishi,Mirage,https://www.motortrend.com/uploads/sites/10/2022/02/2022-mitsubishi-mirage-es-5door-hatchback-angular-front.png
76,Nissan,Almera,https://images.wapcar.my/file1/14e9ec29fc9343828f2f8b1a27d1b20a_678x380.jpg
77,Nissan,Kicks ,https://cms-i.autodaily.vn/du-lieu/2022/07/20/nissan-kicks-japan-4.jpg
78,Nissan,Navara,http://bizweb.dktcdn.net/thumb/grande/100/366/403/products/ngoai-that-hyundai-grand-i10-cuv-ae6fb62e-12bf-476e-9d13-c89e9d122440.jpg?v=1659499944947
79,Nissan,X-Trail,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc9syU_h5P6NQ3dnJUY1KVrW4RevslEYP6M3wRLcP14TQWbKCCl14KwDhoIotWPhvwhUY&usqp=CAU
80,Nissan,Terra,https://www-asia.nissan-cdn.net/content/dam/Nissan/th/vehicles/terra-2021/VLP/VLP_car_1.png.ximg.l_12_m.smart.png
81,Nissan,Sunny,https://m.media-amazon.com/images/I/61UYdfUBAoL._SL1500_.jpg
82,Subaru,Outback,https://cars.usnews.com/static/images/Auto/izmo/i159614590/2022_subaru_outback_angularfront.jpg
83,Subaru,WRX,https://cdn.oem-production.subaru.com.au/media/7276/my21-subaru-wrx-sti-specr-awd-wrblue-front.png
84,Subaru,Forester,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/chrome/white/2018SUS040024_1280_01"
85,Suzuki,XL7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4j5EtaMLr3F-rGvzkQOdhpOjoSl8Tq5TIauuRYGO0yjoIYBvQnaMNUCDO-iksxG6uYAQ&usqp=CAU
86,Suzuki,XL7 Sport,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4j5EtaMLr3F-rGvzkQOdhpOjoSl8Tq5TIauuRYGO0yjoIYBvQnaMNUCDO-iksxG6uYAQ&usqp=CAU
87,Suzuki,Ciaz,https://carnetwork.s3.ap-southeast-1.amazonaws.com/file/5c7fdc557f9b4b13adad702e1d2f7ac4.jpg
88,Suzuki,Swift,https://saigonngoisao.com.vn/vnt_upload/product/09_2022/swift-euro5.png
89,Suzuki,Vitara,https://www.suzuki.co.nz/images/assets/561881/23
90,Suzuki,Ertiga,https://saigonngoisao.com.vn/vnt_upload/product/09_2022/hybrid-ertiga-png_2.png
91,Toyota,Vios,https://www.toyota.com.sg/showroom/new-models/-/media/6090562bee9c4f78b7ee748c8b0e87ab.png
92,Toyota,Wigo,https://www.tfsvn.com.vn/wp-content/uploads/2021/04/Wigo-5MT.png
93,Toyota,Altis,https://toyotavungtau.vn/upload/tour/474849704810.png
94,Toyota,Yaris,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/chrome/white/2011TOY016a_640_01"
95,Toyota,Camry,"https://crdms.images.consumerreports.org/c_lfill,w_470,q_auto,f_auto/prod/cars/chrome/white/2021TOC020001_1280_01"
96,Toyota,Avanza,https://imgx.gridoto.com/crop/0x0:0x0/700x465/photo/2022/03/08/avanza-jjpg-20220308015525.jpg
97,Toyota,Veloz,https://toyotabicutan.com/wp-content/uploads/2022/04/Toyota-Veloz_Dark-Red-Mica-Metallic.png
98,Toyota,Raize,https://i-vnexpress.vnecdn.net/2022/07/07/Raize-1646556802-1719-16465568-8288-8423-1657179025.jpg
99,Toyota,Innova,https://d3ggoe3aghc7um.cloudfront.net/uploads/prices/608/002_608_1618384323118_000.png
100,Toyota,Corolla Cross,https://cache1.pakwheels.com/system/car_generation_pictures/6003/original/Corolla_Cross_-_PNG.png?1635419789
101,Toyota,Fortuner,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/Galleries/20200604105144_Toyota-Fortuner-facelift-3.jpg&w=872&h=578&q=75&c=1
102,Toyota,Hilux,https://giaxehoi.vn/uploads/Xe/Toyota/Hilux/hinh-xe-toyota-hilux-2022-giaxehoi-vn-404x268.jpeg
103,Toyota,Sienna,https://www.toyota.com/imgix/content/dam/toyota/jellies/max/2022/sienna/woodlandedition/5409/1h5/2.png?fm=webp&bg=white&w=768&h=328&q=90
104,Volvo,S90,https://volvo-vn.com/wp-content/uploads/Volvo-S90-Inscription-B6-AWD-2022-2.jpg
105,Volvo,S60,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeFQcGKcUx0144pEU9k_2rmh8eF-1DLZ5qsA&usqp=CAU
106,Volvo,C60,https://heyoto.vn/wp-content/uploads/2022/09/volvo-xc60-t8-awd-recharge-inscription.jpg
107,Volvo,XC40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1yKZXKep2PikEtrN5rCzLHAPDfgQOBfQu9g&usqp=CAU
108,Volvo,XC60,https://heyoto.vn/wp-content/uploads/2022/09/volvo-xc60-r-design.jpg
109,Volvo,XC90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGKoWaRCTMxUL9vifNIsL-EtMfViVuhSjSdw&usqp=CAU
110,Vinfast,VF9,https://vinfasthaiphong3s.com.vn/sites/default/files/styles/800_x_600/public/vf9_newx.png?itok=MD9fkx8K
111,Vinfast,VF8,https://vinfastnewway.com.vn/wp-content/uploads/2022/08/vinfast-vf-8-mau-xam.jpg
112,Vinfast,Lux A,https://showroomxe.com.vn/wp-content/uploads/2019/06/LUX-A-M2-Brown.png
113,Vinfast,Lux SA,https://canhvinfastbacninh.com/wp-content/uploads/2020/10/white-sa-1533453f29561.png
114,Vinfast,Fadil,https://vinfast-angiang.com.vn/public/upload/images/vinfast-fadil/mauxe/vinfast-fadil-silver.png
115,Vinfast,e34,https://cafefcdn.com/203337114487263232/2021/3/24/1920x1080mau-04-16165530405381418257997.jpg
